EvID,Reaction,Particle,px,py,pz,p,E,TPC_dEdx,NsigmaElectron,NsigmaMuon,NsigmaPion,NsigmaKaon,NsigmaProton
0,J/ψ → p p̄,proton,-0.21258770974657937,1.242808997835622,0.06845038201442584,1.2627165929987616,1.5729898900610901,31.735864964832434,-6.597293638097017,1.7406364904068599,1.9402671679462553,2.4732599807123723,-0.8542357151250334
0,J/ψ → p p̄,proton,0.2049978382019056,-1.2073286908121978,-0.06521712391328666,1.22634414198351,1.543944284803461,36.0691970827768,-6.126338543299234,3.3688765508976055,3.5923699616405167,4.092477396983068,0.19160255630114253
1,J/ψ → p p̄,proton,-0.03519312703520916,-0.12148558316962169,1.1723372671171957,1.179140352536709,1.5067235881144205,34.88290671859601,-6.24547842874316,2.961448945275902,3.172748707866913,3.5114915155413513,-0.4134637004027384
1,J/ψ → p p̄,proton,0.035285199194259376,0.125220065131123,-1.208823380279251,1.2158038800330322,1.5355855803905478,41.24642841507039,-5.568183628324732,5.296227875258027,5.550592902924072,6.085702347730932,1.5849954870714766
2,J/ψ → p p̄,proton,0.6693161425380765,-0.4667572520615867,0.932375011879664,1.2390196099302617,1.5540314005166491,35.868482418568654,-6.150113775862096,3.2857169517927183,3.509185879122473,4.044043227465121,0.2063836044461014
2,J/ψ → p p̄,proton,-0.6141815358810658,0.45826633510624465,-0.9373818804532739,1.2107484390702512,1.531586035033961,31.862268415047744,-6.575685744067736,1.8192529478373993,2.0152879872584597,2.4147972728754166,-1.0767758675263315
3,J/ψ → p p̄,proton,-0.3232245963632708,-0.87284222689622,0.7727557667934383,1.2097434305917376,1.5307916800988521,34.70541686695765,-6.269951994918142,2.8745946262832227,3.0880221994836976,3.5201611822813037,-0.2861918357430466
3,J/ψ → p p̄,proton,0.32235941661140394,0.9009773563505312,-0.7938654837924811,1.2433415445851983,1.5574794369401819,31.354881950662296,-6.635230351521397,1.6112748551081475,1.8069771306294704,2.285517619868809,-1.056902129380749
4,J/ψ → p p̄,proton,-0.901958658631472,0.6996981779796962,-0.5305320861063784,1.2587975439032189,1.5698456155102565,34.19568352451074,-6.332914884071202,2.6531869281611784,2.867960700410802,3.4318353802289834,-0.16562377778126833
4,J/ψ → p p̄,proton,0.8352077196449121,-0.7088353224189056,0.5233116073529995,1.2140323256213352,1.5341833292190172,36.57531009391001,-6.069761118053166,3.5652061670424806,3.790581186472435,4.259536126603502,0.262563926470252
